,단어명,물리명,영문명,금칙어
2649,구조물,STRUTR,STRUCTURE,
2650,구조조정,RSTRT,RESTRUCTURING,
2651,구좌,AMNACC,AMMUNITION ACCOUNT,
2652,구좌전환,ACCSWH,AMMUNITION ACCOUNT SWITCHOVER,
2653,구직,JOBHUNT,JOB HUNTING,
2654,구청,WRDOFC,WARD OFFICE,
2655,구청장,DSTLDR,DISTRICT LEADER,
2656,구체,CNCRTNS,CONCRETENESS,
2657,구체적,CNCR,CONCRETE,
2658,구축,BUILD,BUILD,
2659,구축형태,TPASB,TYPE ASSEMBLY,
2660,구축효과,COEFT,CROWDING OUT EFFECT,
2661,구취,HLTS,HALITOSIS,입냄새
2662,구치소,DTNHS,DETENTION HOUSE,
2663,구타,BEAT,BEAT,
2664,구토,EMSS,EMESIS,
2665,구판단번호,OLDESTNO,OLD ESTIMATE NUMBER,
2666,구현,IMP,IMPLEMENTATION,
2667,구현,RLZTN,REALIZATION,
2668,구형,ODSYL,OLD STYLE,
2669,구형,SPHSHP,SPHERICAL SHAPE,
2670,구호,AID,AID,
2671,구호소,AIDSTN,AID STATION,
2672,국가,NATN,NATION,국
2673,국가관,VONTN,VIEW OF NATION,
2674,국가기술자격,NTQ,NATION TECHNOLOGY QUALIFICATION,
2675,국가기술자격등급코드,NTQGCD,NATION TECHNOLOGY QUALIFICATION GRADE CODE,
2676,국가기술자격직무분야코드,NTQDSCD,NATION TECHNOLOGY QUALIFICATION DUTY SPHERE CODE,
2677,국가방위요소,NLSQ,NATIONAL DEFENSE REQUISITE,
2678,국가배상,SCNS,STATE COMPENSATION,
2679,국가보훈관계법령,NHWMST,NATION THE REWARD OF MERIT RELATION STATUTE,
2680,국가보훈대상자,NTTTN,NATION PATRIOT AND VETERAN,
2681,국가보훈처,MPVA,MINISTRY OF PATRIOTS AND VETERANS AFFAIRS,보훈처
2682,국가부담금,NATIONALOTM,NATION ALLOTMENT,
2683,국가부호국코드,NCB,NATIONAL CODIFICATION BUREAU CODE,
2684,국가신용등급,SVCRRTNG,SOVEREIGN CREDIT RATING,
2685,국가영상정보전파양식,NITF,NATIONAL IMAGERY TRANSMISSION FORMAT,
2686,국가유공자,MANMRT,MAN OF NATIONAL MERIT,유공자
2687,국가자격,CTLF,COUNTRY QUALIFICATION,
2688,국가자격관리자,CQFNR,COUNTRY QUALIFICATION ADMINISTRATIONIST,
2689,국가자격면허코드,NQLCD,NATION QUALIFICATION LICENSE CODE,
2690,국가재고번호,NSN,NATIONAL STOCK NUMBER,"재고번호,NSN"
2691,국가재고번호변경코드,NSNCCD,NATIONAL STOCK NUMBER CHANGE CODE,
2692,국가재고번호식별코드,NSNIDCD,NATIONAL STOCK NUMBER IDENTIFICATION CODE,
2693,국가재고번호형태코드,NSNSHPCD,NATIONAL STOCK NUMBER SHAPE CODE,
2694,국가재정,NATFN,NATIONAL FINANCE,
2695,국가재정운용계획,GFP,GOVERNMENT FINANCE PLAN,국가재정운영계획
2696,국가재정정보시스템,NAFIS,NATIONAL FINANCE INFORMATION SYSTEM,"NAFIS,살리미"
2697,국가정보목표우선순위,PNIO,PRIORITY OF NATIONAL INTELLIGENCE OBJECTIVE,PNIO
2698,국가정보원,NIS,NATIONAL INTELLIGENCE SERVICE,국정원
2699,국가정보자료,CTFMD,COUNTRY INFORMATION DATA,
2700,국가정보지원계획,NISP,NATION INFORMATION SUPPORT PLAN,
2701,국가정보지원계획상태코드,NISPSACD,NATION INFORMATION SUPPORT PLAN STATE CODE,
2702,국가주요시설등급코드,NMINSGCD,NATION MAIN INSTALLATION GRADE CODE,
2703,국가중요시설,CMCQ,COUNTRY IMPORTANCE EQUIPMENT,
2704,국가채권,NATBND,NATIONAL BOND,국채
2705,국가채무,NATDBT,NATIONAL DEBT,
2706,국가채무관리계획상태코드,NDMPSCD,NATIONAL DEBT MANAGEMENT PLAN STATE CODE,
2707,국가품목식별번호,NIIN,NATIONAL ITEM IDENTIFICATION NUMBER,"국가품목식별부호,NIIN,국가식별부호,물품식별번호"
2708,국가필수국제선박,CSPNP,COUNTRY INDISPENSABLE INTERNATIONAL SHIP,
2709,국경인도조건,DAF,DELIVERED AT FRONTIER,
2710,국경일,NATHLDY,NATIONAL HOLIDAY,
2711,국고,NATTRS,NATIONAL TREASURY,
2712,국고계좌기능코드,NTAFCD,NATIONAL TREASURY ACCOUNT FUNCTION CODE,
2713,국고금,NATFND,NATIONAL FUNDS,
2714,국고금수납점,NFRP,NATIONAL FUND RECEIVING PLACE,
2715,국고보조금,NATSBSD,NATIONAL SUBSIDIES,
2716,국고수납대리점,NTRA,NATIONAL TREASURY RECEIVING AGENCIES,
2717,국고수표,NATCHK,NATIONAL CHECK,
2718,국고채,NTD,NATIONAL TREASURY DEBT,
2719,국고채무부담행위,NTDO,NATIONAL TREASURY DEBT OBLIGATION,부담행위
2720,국고채무부담행위요청번호,NTDORNO,NATIONAL TREASURY DEBT OBLIGATION REQUEST NUMBER,
2721,국공유지,NATPBLND,NATIONAL AND PUBLIC LAND,
2722,국공채,NTPBND,NATIONAL AND PUBLIC BOND,
2723,국군기무사령부,DFSC,DEFENSE SECURITY COMMAND,
2724,국군복지단,MWAGNC,MND WELFARE AGENCY,
2725,국군의무사령부,AFMC,ARMED FORCES MEDICAL COMMAND,의무사
2726,국군지휘통신사령부,ROKDCC,REPUBLIC OF KOREA DEFENSE COMMUNICATION COMMAND,
2727,국기,NLG,NATIONAL FLAG,
2728,국내,DMST,DOMESTIC,
2729,국내건의코드,DAVCD,DOMESTIC ADVISE CODE,
2730,국내여비,DMTREXP,DOMESTIC TRAVELING EXPENSES,
2731,국내외,DNO,DOMESTIC AND OUTSIDE,
2732,국내외구분코드,DOCD,DOMESTIC OVERSEAS DIVISION CODE,
2733,국내조달,INTPRC,INTERNAL PROCUREMENT,내자조달
2734,국내참여업체,KIP,KOREAN INDUSTRY PARTICIPANT,
2735,국내창정비,DDMNT,DOMESTIC DEPOT MAINTENANCE,
2736,국내총생산,GDP,GROSS DOMESTIC PRODUCT,GDP
2737,국내출장,DMOTRP,DOMESTIC OFFICIAL TRIP,
2738,국도,NATRD,NATIONAL ROAD,
2739,국면,SITN,SITUATION,
2740,국무위원,STMNST,STATE MINISTER,
2741,국무회의,CBNCNL,CABINET COUNCIL,
2742,국민건강보험,NHISR,NATIONAL HEALTH INSURANCE,
2743,국민건강보험료,NHISRBL,NATIONAL HEALTH INSURANCE BILL,
2744,국민연금,NATPNS,NATIONAL PENSION,
2745,국민주택,NATHS,NATIONAL HOUSE,
2746,국민주택채권,NATHSBD,NATIONAL HOUSING BOND,
2747,국민주택채권액,NHBAMT,NATIONAL HOUSING BOND AMOUNT,
2748,국민투표,NTLRFD,NATIONAL REFERENDUM,
2749,국민훈장,OCM,ORDER OF CIVIL MERIT,
2750,국방,ND,NATIONAL DEFENSE,
2751,국방개혁조치,DRI,DEFENSE REFORM INITIATIVES,
2752,국방과학기술진흥정책서,DSTPP,DEFENSE SCIENCE AND TECHNOLOGY PROMOTION POLICY,
2753,국방군사시설,NDLRYS,NATIONAL DEFENSE AND MILITARY INSTALLATIONS,
2754,국방군사시설사업,NDNLTS,NATIONAL DEFENSE AND MILITARY INSTALLATIONS PROJEC,
2755,국방군수목록체계,ADICS,AUTOMATIC DEFENCE INTEGRATED LOGISTICS CATALOGING SYSTEM,
2756,국방군수통합정보체계,DELIIS,DEFENSE LOGISTICS INTEGRATED INFORMATION SYSTEM,군수통합
2757,국방규격서,MILSPEC,MILITARY SPECIFICATION,
2758,국방기본정책서,NDP,NATIONAL DEFENSE PLAN,
2759,국방기술품질원,DTAQ,DEFENSE AGENCY FOR TECHNOLOGY AND QUALITY,품관소
2760,국방기획관리제도,PPBEES,"PLANNING, PROGRAMMING, BUDGETING, EXECUTION, EVALUATION SYSTEM",
2761,국방데이터사전시스템,DDDS,DEFENSE DATA DICTIONARY SYSTEM,DDDS
2762,국방동원정보체계,DMOBIS,DEFENSE MOBILIZATION INFORMATION SYSTEM,
2763,국방물자,DFATCL,DEFENSE ARTICLE,
2764,국방물자정보체계,DMIS,DEFENSE MATERIALS INFORMATION SYSTEM,"국방물자정보시스템,물자정보체계,물자정보시스템,SIS,보급정보체계,보급정보시스템"
2765,국방보급목록제도,DSCS,DEFENSE SUPPLY CATALOGING SYSTEM,
2766,국방부,MND,MINISTRY OF NATIONAL DEFENSE,
2767,국방부대코드관리시스템,UCMS,UNIT CODE MANAGEMENT SYSTEM,"UCSM,부대코드시스템"
2768,국방부장관,DFMIN,DEFENSE MINISTER,국방장관
2769,국방부직할부대,TUDCMND,TROOPS UNDER DIRECT CONTROL OF MND,국직
2770,국방부직할부대군무원,MDCVN,MINISTRY OF NATIONAL DEFENSE MILITARY CIVILIAN,
2771,국방부탄약기호,DODAC,DEPARTMENT OF DEFENSE AMMUNITION CODE,DODAC
2772,국방부훈령,MNDINST,MINISTRY OF NATIONAL DEFENSE INSTRUCTION,국방부령
2773,국방비,NDEXP,NATIONAL DEFENSE EXPENSES,
2774,국방사업구분코드,NDBDCD,NATIONAL DEFENSE BUSINESS DIVISION CODE,
2775,국방수송정보체계,DTIS,DEFENSE TRANSPORTATION INFORMATION SYSTEM,DTIS
2776,국방시설통합정보체계,DI3S,DEFENSE INSTALLATION INTEGRATION INFORMATION SYSTEM,"시설통합정보체계,시설정보체계"
2777,국방아키텍처,MNDEA,MINISTRY OF NATIONAL DEFENCE-ENTERPRISE ARCHITECTURE,
2778,국방예산,NDBGT,NATIONAL DEFENSE BUDGET,
2779,국방일보,KDD,KOREA DEFENSE DAILY,
2780,국방장비목록편람,DELD,DEFENCE EQUIPMENT LIST DHNDBK,
2781,국방재정정보시스템,NDFIS,NATIONAL DEFENCE FINANCE INFORMATION SYSTEM,"국방통합재정정보시스템,국방재정정보체계,국방통합재정정보체계,재정통합정보체계,재정정보체계,국방재정"
2782,국방전산정보원,DCIA,DEFENSE COMPUTING INFORMATION AGENCY,
2783,국방전자조달시스템,DPAMIS,DEFENSE PROCUREMENT MANAGEMENT INFORMATION SYSTEM,"DPAMIS,국방조달관리체계"
2784,국방정보통신망,DISN,DEFENSE INFORMATION SYSTEM NETWORK,국방망
2785,국방정보판단서,DIE,DEFENSE INTELLIGENCE ESTIMATE,DIE
2786,국방조직정원체계,OCMS,ORGANIZATION AND CAPACITY MANAGEMENT SYSTEM,
2787,국방중기계획,DIRP,DEFENSE INTERMEDIATE RANGE PLANNING,
2788,국방중기계획서,DIRPDOC,DEFENSE INTERMEDIATE RANGE PLANNING DOCUMENT,
2789,국방취업지원센터,MNDJOB,MINISTRY OF DEFENSE JOB SUPPORT CENTER,
2790,국방탄약정보체계,DAIS,DEFENSE AMMUNITION INFORMATION SYSTEM,"AIS,국방탄약시스템,탄약정보체계,탄약시스템"
2791,국방통계시스템,NDSTAT,NATIONAL DEFENSE STATISTICS SYSTEM,
2792,국방품질경영시스템,DQMS,DEFENSE QUALITY MANAGEMENT SYSTEM,
2793,국번,TELOFCNO,TELEPHONE OFFICE NUMBER,
2794,국부,LOCAL,LOCAL,
2795,국비,GOVEXPNDTR,GOVERNMENT EXPENDITURE,
2796,국사,NATHSTR,NATIONAL HISTORY,
2797,국산,DMPRD,DOMESTIC PRODUCTION,
2798,국산대체,DMSBST,DOMESTIC SUBSTITUTION,
2799,국산대체심사확정구분코드,DSJCDCD,DOMESTIC SUBSTITUTION JUDGMENT CONFIRMATION DIVISION CODE,
2800,국산화,LOCZN,LOCALIZATION,
2801,국세,NATTX,NATIONAL TAX,
2802,국세청,NTS,NATIONAL TAX SERVICE,
2803,국소,LOCL,LOCAL,
2804,국어,NTVLNG,NATIVE LANGUAGE,
2805,국외,ABRD,ABROAD,
2806,국외건의코드,FAVCD,FOREIGN ADVICE CODE,
2807,국외범,OSCRM,OVERSEAS CRIMINAL,
2808,국외여비,ABTREXP,ABROAD TRAVELING EXPENSES,해외여비
2809,국외영주권여비구분코드,ADTDCD,ABROAD ENIZENSHIP TRAVELING EXPENSES DIVISION CODE,
2810,국외정보,ONTNIF,OUTSIDE NATION INFORMATION,
2811,국외조달,FRPRC,FOREIGN PROCUREMENT,해외조달
2812,국외출장,ABOFTRP,ABROAD OFFICIAL TRIP,해외출장
2813,국유,GOVOWN,GOVERNMENT OWNERSHIP,
2814,국유재산,NATPRPT,NATIONAL PROPERTY,
2815,국유재산결산유형코드,NPCATCD,NATIONAL PROPERTY CLOSING ACCOUNTS TYPE CODE,
2816,국유재산계약매각유형코드,NPCSTCD,NATIONAL PROPERTY CONTRACT SALE TYPE CODE,
2817,국유재산계약목적구분코드,NPCPDCD,NATIONAL PROPERTY CONTRACT PURPOSE DIVISION CODE,
2818,국유재산계약사용자구분코드,NPCUDCD,NATIONAL PROPERTY CONTRACT USER DIVISION CODE,
2819,국유재산관리계획,NPMP,NATIONAL PROPERTY MANAGEMENT PLAN,
2820,국유재산관리계획안처리상태코드,NPMPIPSCD,NATIONAL PROPERTY MANAGEMENT PLAN IDEA PROCESS STATE CODE,
2821,국유재산관리구분코드,NPMDCD,NATIONAL PROPERTY MANAGEMENT DIVISION CODE,
2822,국유재산관리운용보고서,NPRNORPT,NATIONAL PROPERTY MANAGEMENT AND OPERATING REPORT,
2823,국유재산관리유형코드,NPMTCD,NATIONAL PROPERTY MANAGEMENT TYPE CODE,
2824,국유재산관리처분목적코드,NPMDPCD,NATIONAL PROPERTY MANAGEMENT DISPOSAL PURPOSE CODE,
2825,국유재산관리처분유형코드,NPMDTCD,NATIONAL PROPERTY MANAGEMENT DISPOSAL TYPE CODE,
2826,국유재산구분코드,NPDCD,NATIONAL PROPERTY DIVISION CODE,
2827,국유재산대장,NPL,NATIONAL PROPERTY LEDGER,
2828,국유재산법,NTPTLW,NATIONAL PROPERTY LAW,
2829,국유재산사용주체코드,MBUNPCD,MAIN BODY OF USING NATIONAL PROPERTY CODE,
2830,국유재산상세유형코드,NPDTCD,NATIONAL PROPERTY DETAIL TYPE CODE,
2831,국유재산상세종류코드,NPDKCD,NATIONAL PROPERTY DETAIL KIND CODE,
2832,국유재산유형코드,NPTCD,NATIONAL PROPERTY TYPE CODE,
2833,국유재산점유대부유형코드,NPOLTCD,NATIONAL PROPERTY OCCUPATION LOANING TYPE CODE,
2834,국유재산종류코드,NPKCD,NATIONAL PROPERTY KIND CODE,
2835,국유재산증감사유코드,NPINDRCD,NATIONAL PROPERTY INCREASE AND DECREASE REASON CODE,
2836,국유재산증감코드,NPINDCD,NATIONAL PROPERTY INCREASE AND DECREASE CODE,
2837,국유지,NATLND,NATIONAL LAND,
2838,국유화,NATLZ,NATIONALIZATION,
2839,국유화제외구분코드,NEDCD,NATIONALIZATION EXCLUSION DIVISION CODE,
2840,국유화제외사유코드,NERCD,NATIONALIZATION EXCLUSION REASON CODE,
2841,국적,NATLT,NATIONALITY,
2842,국정감사,IPFTM,INSPECTION OF STATE ADMINISTRATION,
2843,국제,INTNAT,INTERNATIONAL,
2844,국제간호분류체계코드번호,ICNPCDNO,INTERNATIONAL CLASSIFICATION FOR NURSING PRACTICE CODE NUMBER,
2845,국제군수,IL,INTERNATIONAL LOGISTICS,
2846,국제기구,ILN,INTERNATIONAL ORGANIZATION,
2847,국제기금,ITRLD,INTERNATIONAL FUND,
2848,국제기금협약,ITLFR,INTERNATIONAL FUND AGREEMENT,
2849,국제기술협력기구,TCG,TECHNICAL COORDINATION GROUP,
2850,국제기준,INTRLSTDR,INTERNATIONAL STANDARD,
2851,국제도산관리인,ILLNG,INTERNATIONAL FAILURE MANAGEMENT,
2852,국제무역규칙,INCTRM,INCOTERMS,
2853,국제민간항공기구,ICAO,INTERNATIONAL CIVIL AVIATION ORGANIZATION,ICAO
2854,국제민간항공기구공항코드,ICAOAIRPTCD,INTERNATIONAL CIVIL AVIATION ORGANIZATION AIRPORT CODE,
2855,국제사찰,INLHM,INTERNATIONAL BUDDHIST TEMPLE,
2856,국제상업회의소,ICC,INTERNATIONAL CHAMBER OF COMMERCE,
2857,국제선박,INTRLSHIP,INTERNATIONAL SHIP,
2858,국제수지,BLCPMT,BALANCE OF PAYMENT,
2859,국제입찰,INTBD,INTERNATIONAL BIDDING,
2860,국제입찰구분코드,IBDCD,INTERNATIONAL BIDDING DIVISION CODE,
2861,국제입찰제외사유구분코드,IBERDCD,INTERNATIONAL BIDDING EXCLUSION REASON DIVISION CODE,
2862,국제질병분류,ICD,INTERNATIONAL CLASSIFICATION OF DISEASES,
2863,국제통화,INTTK,INTERNATIONAL TALK,
2864,국제통화기금,IMF,INTERNATIONAL MONETARY FUND,IMF
2865,국제통화코드,INTCURCD,INTERNATIONAL CURRENCY CODE,
2866,국제표준화기구,ISO,INTERNATIONAL ORGANIZATION FOR STANDARDIZATION,ISO
2867,국제항해,INLL,INTERNATIONAL SAILING,
2868,국제해사기구,IMO,INTERNATIONAL MARITIME ORGANIZATION,
2869,국제협력업무,INTCPBIZ,INTERNATIONAL COOPERATION BUSINESS,
2870,국제협력연구개발,ICRND,INTERNATIONAL COOPERATIVE RESEARCH AND DEVELOPMENT,
2871,국제협력의사,ITRCTR,INTERNATIONAL COOPERATION DOCTOR,
2872,국제화계획지구,INNPLNDTR,INTERNATIONALIZATION PLAN DISTRICT,
2873,국지,LMTRGN,LIMITED REGION,
2874,국지공중우세,LCARS,LOCAL AIR SUPERIORITY,
2875,국지관제,LCLC,LOCAL CONTROL,
2876,국지기상,LCWTH,LOCAL WEATHER,
2877,국지도발,LCPRV,LOCAL PROVOCATION,
2878,국지도발대비상태코드,CPSTATECD,Counter Provocation State Code,
2879,국책사업,NATPRJ,NATIONAL PROJECT,
2880,국토,CNTRY,COUNTRY,
2881,국회,ASSEMBLY,THE NATIONAL ASSEMBLY,
2882,군,GUN,GUN,
2883,군,MIL,MILITARY,
2884,군가,MILTRS,MILITARY SONG,
2885,군견,MWD,MILITARY WATCH DOG,
2886,군관,MILOFCR,MILITARY OFFICER,
2887,군구분코드,MDCD,MILITARY DIVISION CODE,
2888,군국가구분코드,MILNATNDVCD,MILITARY NATION DIVISION CODE,
2889,군급,FSP,FEDERAL SUPPLY,
2890,군급분류코드,FSC,FEDERAL SUPPLY CLASSIFICATION CODE,
2891,군기,MILDCP,MILITARY DISCIPLINE,
2892,군납,SGSMIL,SUPPLY OF GOODS AND SERVICE TO THE MILITARY,
2893,군납품,SPBP,SUPPLIES PROVIDED BY A PURVEYOR,
2894,군내,INSMIL,INSIDE MILITARY,
2895,군내군외구분코드,IOMDCD,INSIDE AND OUTSIDE MILITARY DIVISION CODE,
2896,군단,CORPS,CORPS,
2897,군단급,CRPCS,CORPS CLASS,
2898,군대,MILFC,MILITARY FORCES,
2899,군대부호,WARSBL,WAR SYMBOL,
2900,군대부호코드,WARSBLCD,WAR SYMBOL CODE,
2901,군량곡,MPG,MILITARY PROVISIONS GRAIN,
2902,군무원,MILCVL,MILITARY CIVILIAN,
2903,군무원유형코드,MCTYCD,MILITARY CIVILIAN TYPE CODE,
2904,군무원직렬코드,MCSCPCD,MILITARY CIVILIAN SERIAL CLASS OF POSITION CODE,
2905,군민,MILNCVL,MILITARY PERSONNEL AND CIVILIAN,
2906,군민간구분코드,MILCIVILDVCD,MILITARY CIVIL DIVISION CODE,
2907,군번,SRVNO,SERVICE NUMBER,
2908,군번정렬구분번호,SRVNOSTLNDNO,SERVICE NUMBER STANDING IN LINE DIVISION NUMBER,
2909,군번줄,SNC,SERVICE NUMBER CHAIN,
2910,군법,MILW,MILITARY LAW,
2911,군별,MILDSC,MILITARY DISCRIMINATION,
2912,군별코드,MILDSCD,MILITARY DISCRIMINATION CODE,
2913,군복,MTFR,MILITARY UNIFORM,
2914,군부,MILTR,MILITARY,
2915,군비,ARMT,ARMAMENT,
2916,군사,MILAFR,MILITARY AFFAIRS,
2917,군사,SLD,SOLDIER,
2918,군사교육,MILEDU,MILITARY EDUCATION,
2919,군사구역,MILAR,MILITARY AREA,
2920,군사기밀,MLSTS,MILITARY SECRETS,
2921,군사기밀공개,MTYTN,MILITARY SECRET OPEN,
2922,군사기밀제공설명,MRFX,MILITARY SECRET OFFER EXPLANATION,
2923,군사령부,MILHQ,MILITARY HEADQUARTERS,
2924,군사분계선,MDL,MILITARY DEMARCATION LINE,MDL
2925,군사시설,MILINST,MILITARY INSTALLATIONS,
2926,군사시설보호구역,ASRTR,ARMY INSTALLATION PROTECTION AREA,
2927,군사안보지원사령부,DSSC,DEFENSE SECURITY SUPPORT COMMAND,
2928,군사원조,MILAID,MILITARY AID,군원
2929,군사원호,MILSPT,MILITARY SUPPORT,
2930,군사전략정보요구서,MSIR,MILITARY STRATEGIC INTELLIGENCE REQUIREMENT,MSIR
2931,군사전략정보요구서수집기관번호,MSIRCONO,MILITARY STRATEGIC INTELLIGENCE REQUIREMENT COLLECTION ORGAN NUMBER,
2932,군사전략정보요구서첩보요구번호,MSIRIDNO,MILITARY STRATEGIC INTELLIGENCE REQUIREMENT INFORMATION DEMAND NUMBER,
2933,군사정보통합처리체계,MIMS,MILITARY INTELLIGENCE MANAGEMENT SYSTEM,MIMS
2934,군사좌표,MILGRD,MILITARY GRID,
2935,군사좌표참조체계,MGRS,MILITARY GRID REFERENCE SYSTEM,MGRS
2936,군사지도,TLM,TOPOGRAPHIC LINE MAP,
2937,군사지원계획주소록,MAPAD,MILITARY AID PROGRAM ADDRESS DIRECTORY,
2938,군사혁신,RMA,REVOLUTION IN MILITARY AFFAIRS,
2939,군사협조기구,MCE,Military Coordination Element,
2940,군사활동,MLARAT,MILITARY AFFAIRS ACTIVITY,
2941,군사활동병종구분코드,MAABOADVCD,MILITARY AFFAIRS ACTIVITY BRANCH OF THE ARMY DIVISION CODE,
2942,군사활동분석보고서,MAAANLRPT,MILITARY AFFAIRS ACTIVITY ANALYSIS REPORT,
2943,군사활동유형코드,MAATYCD,MILITARY AFFAIRS ACTIVITY TYPE CODE,
2944,군사활동주체구분코드,MAAMNBDDVCD,MILITARY AFFAIRS ACTIVITY MAIN BODY DIVISION CODE,
2945,군세,CTAX,COUNTY TAX,
2946,군수,LGST,LOGISTICS,
2947,군수공장분야코드,LGSTFTRSPHCD,LOGISTICS FACTORY SPHERE CODE,
2948,군수관리,LGSMGT,LOGISTIC MANAGEMENT,
2949,군수기능,LGSTFCN,LOGISTICS FUNCTIONS,
2950,군수기획,LGSTPLN,LOGISTICS PLANNING,
2951,군수목록,LGSTC,LOGISTICS LIST,
2952,군수물자,LGSTMTR,LOGISTICS MATERIAL,
2953,군수방침및절차,LPNP,LOGISTICS POLICY AND PROCEDURES,
2954,군수사령부,LGSCMD,LOGISTIC COMMAND,군수사
2955,군수사령부저장부대,LCSU,LOGISTIC COMMAND STORAGE UNIT,
2956,군수산업,LGSTIND,LOGISTICS INDUSTRY,
2957,군수운영예규,LOGSOP,LOGISTICS STANDARD OPERATING PROCEDURE,
2958,군수이관,LGSXCTR,LOGISTICS TRANSFER OF CONTROL,
2959,군수제원점검,LDC,LOGISTICS DATA CHECK,
2960,군수지원,LS,LOGISTICS SUPPORT,
2961,군수지원긴요코드,LSCCD,LOGISTICS SUPPORT CRITICAL CODE,
2962,군수지원단,LGSPGRP,LOGISTICS SUPPORT GROUP,군지단
2963,군수지원분석,LSA,LOGISTICS SUPPORT ANALYSIS,LSA
2964,군수지원분석기록,LSAR,LOGISTICS SUPPORT ANALYSIS RECORD,
2965,군수지원사령부,LSCMD,LOGISTICS SUPPORT COMMAND,군지사
2966,군수지원체제,LSS,LOGISTICS SUPPORT SYSTEM,
2967,군수처,LGSTPLC,LOGISTICS PLACE,
2968,군수체계,LGSTSYS,LOGISTIC SYSTEM,군수시스템
2969,군수태세보고서,LGSTRPT,LOGISTICS SITUATION REPORT,
2970,군수판단,LES,LOGISTICS ESTIMATE OF THE SITUATION,
2971,군수품,WARSPL,WAR SUPPLIES,군수품목
2972,군수품기능코드,WSFNCD,WAR SUPPLIES FUNCTION CODE,
2973,군수품소모유형코드,WSCTCD,WAR SUPPLIES CONSUMPTION TYPE CODE,
2974,군수품조사,INVTINSP,INVENTORY INSPECTION,재셈
2975,군수품조사관리번호,IIMNO,INVENTORY INSPECTION MANAGEMENT NUMBER,
2976,군수품조사구분코드,IIDCD,INVENTORY INSPECTION DIVISION CODE,
2977,군수혁신,RML,REVOLUTION IN MILITARY LOGISTICS,
2978,군수협조단,LCG,LOGISTICS COORDINATING GROUP,
2979,군악,MILMSC,MILITARY MUSIC,
2980,군외,OUTMIL,OUTSIDE MILITARY,
2981,군외정비,MILMTN,MILITARY MAINTENANCE,
2982,군용,MILUSE,MILITARY USE,
2983,군용기,WLN,WAR PLANE,
2984,군용선,MTYSS,MILITARY VESSELS,
2985,군용장구,MLTGR,MILITARY GEARS,
2986,군용지,MILRSV,MILITARY RESERVATION,
2987,군용화물번호,MFNO,MILITARY FREIGHT NUMBER,
2988,군원물자,MAM,MILITARY AID MATERIEL,
2989,군원장비,MILEQ,MILITARY EQUIPMENT,
2990,군위탁생,MRLHDN,MILITARY SCHOLARSHIP STUDENTS,
2991,군유지,GUNLND,GUN LAND,
2992,군의관,MILSRG,MILITARY SURGEON,
2993,군의문사,ARMYINTRRGTV,ARMY INTERROGATIVE,
2994,군인,MILPRSN,MILITARY PERSONNEL,
2995,군인가족,MPFMLY,MILITARY PERSONNEL FAMILY,
2996,군인계급코드,MILRNKCD,MILITARY RANK CODE,
2997,군인공제회,MMAA,THE MILITARY MUTUAL AID ASSOCIATION,
2998,군인공제회가입구분코드,MEDCD,THE MILITARY MUTUAL AID ASSOCIATION ENTRY DIVISION CODE,
2999,군인기본자세,MPBATD,MILITARY PERSONNEL BASIC ATTITUDE,
3000,군인신분코드,MPSPCD,MILITARY PERSONNEL SOCIAL POSITION CODE,
3001,군인연금,MILPNS,MILITARY PENSION,
3002,군인연금법,MPLW,MILITARY PENSION LAW,
3003,군작전공역,MOA,MILITARY OPERATION AIRSPACE,
3004,군장,LDR,LEADER,
3005,군장기,MSNCMDR,MISSION COMMANDER,
3006,군장학생,MYCRS,MILITARY SCHOLARSHIPS,
3007,군종,MILRLGN,MILITARY RELIGION,
3008,군직접정비,MILDM,MILITARY DIRECT MAINTENANCE,
3009,군직할,TUDCARMY,TROOPS UNDER DIRECT CONTROL OF ARMY,군직
3010,군창,MILDPT,MILITARY DEPOT,
3011,군책임운영기관,MEA,MILITARY EXECUTIVE AGENCY,
3012,군첩보부대,AMYFNT,ARMY SECRET INFORMATION MILITARY UNIT,
3013,군청,CNTHBL,COUNTY HALL BUILDING,
3014,군축,DSARM,DISARMAMENT,
3015,군표준청구및불출절차,MILSTRIP,MILITARY STANDARD REQUISITIONING AND ISSUE PROCEDURES,
3016,군항,NVLR,NAVAL PORT,
3017,굴절,RFRCT,REFRACTION,
3018,굴착,DGG,DIGGING,
3019,굴착기,ECVT,EXCAVATOR,
3020,굵기,THCK,THICKNESS,
3021,궁도장,ACHSTE,ARCHERY SITE,
3022,권,TCKT,TICKET,
3023,권,VOL,VOLUME,
3024,권,RGT,RIGHT,
3025,권계면,TRPPS,TROPOPAUSE,
3026,권력,ATPW,AUTHORITY POWER,
3027,권리,RGHT,RIGHT,
3028,권리보전,RIGHTCONSV,RIGHT CONSERVATION,
3029,권리보전기조치사유코드,RPARCD,RIGHT PRESERVATION ALREADY ACTION REASON CODE,
3030,권리자,RGHPSN,RIGHTFUL PERSON,
3031,권리주,PTNSTK,POTENTIAL SHARES,
3032,권리질,PLDGRT,PLEDGE OF RIGHTS,
3033,권리취득,ACQRGH,ACQUISITION OF RIGHT,
3034,권면액,FCOBL,FACE OF A BILL,
3035,권선,WNDNG,WINDING,
3036,권역,REGION,REGION,
